airline,reg,aircraft,age,origin,destination,direction,remarks,origin_category,destination_category
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",阿姆斯特丹,成都,进口,,国际,国内
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",安克雷奇,芝加哥,出口,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",芝加哥,安克雷奇,进口,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",安克雷奇,洛杉矶,出口,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",深圳,布达佩斯,出口,,国内,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",布达佩斯,深圳,进口,,国际,国内
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",纽约,安克雷奇,进口,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",杭州,列日,出口,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",曼谷,河内,出口,,国际,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",安克雷奇,芝加哥,出口,,国际,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",法兰克福,阿姆斯特丹,出口,,国际,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",新加坡,河内,进口,,国际,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",深圳,洛杉矶,出口,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",洛杉矶,深圳,进口,,国际,国内
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",合肥,列日,出口,,国内,国际
中货航,"B-2076
B-2077",B777-F6N,"15.4
15.3",列日,合肥,进口,,国际,国内
邮政航空,B-2662,B737-3Q8（SF）,32.2,杭州,东京,出口,,国内,国际
邮政航空,B-2662,B737-3Q8（SF）,32.2,东京,杭州,进口,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,昆明,金奈,出口,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,金奈,昆明,进口,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,昆明,达卡,出口,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,达卡,昆明,进口,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,杭州,达卡,出口,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,达卡,杭州,进口,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,温州,马尼拉,出口,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,马尼拉,温州,进口,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,温州,首尔,出口,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,首尔,温州,进口,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,杭州,科伦坡,出口,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,科伦坡,杭州,进口,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,杭州,迪拜,出口,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,迪拜,杭州,进口,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,杭州,阿斯塔纳,出口,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,阿斯塔纳,杭州,进口,,国际,国内
圆通航空,B-222G,B757-223（PCF）,23.3,杭州,布达佩斯,出口,,国内,国际
圆通航空,B-222G,B757-223（PCF）,23.3,布达佩斯,杭州,进口,,国际,国内
中原龙浩,B-3388,ARJ21-700(F),7.5,郑州,河内,出口,,国内,国际
中原龙浩,B-3388,ARJ21-700(F),7.5,河内,郑州,进口,,国际,国内
中原龙浩,B-3388,ARJ21-700(F),7.5,郑州,关西,出口,,国内,国际
中原龙浩,B-3388,ARJ21-700(F),7.5,关西,郑州,进口,,国际,国内
中原龙浩,B-3388,ARJ21-700(F),7.5,郑州,首尔,出口,,国内,国际
中原龙浩,B-3388,ARJ21-700(F),7.5,首尔,郑州,进口,,国际,国内
中原龙浩,B-3388,ARJ21-700(F),7.5,宁波,胡志明市,出口,,国内,国际
中原龙浩,B-3388,ARJ21-700(F),7.5,胡志明市,宁波,进口,,国际,国内
中原龙浩,B-3388,ARJ21-700(F),7.5,宁波,关西,出口,,国内,国际
中原龙浩,B-3388,ARJ21-700(F),7.5,关西,宁波,进口,,国际,国内
中原龙浩,B-3388,ARJ21-700(F),7.5,宁波,东京,出口,,国内,国际
中原龙浩,B-3388,ARJ21-700(F),7.5,东京,宁波,进口,,国际,国内
中原龙浩,B-3388,ARJ21-700(F),7.5,南宁,马尼拉,出口,,国内,国际
中原龙浩,B-3388,ARJ21-700(F),7.5,马尼拉,南宁,进口,,国际,国内
中原龙浩,B-3388,ARJ21-700(F),7.5,郑州,布达佩斯,出口,,国内,国际
中原龙浩,B-3388,ARJ21-700(F),7.5,布达佩斯,郑州,进口,,国际,国内
中原龙浩,B-3388,ARJ21-700(F),7.5,郑州,金奈,出口,,国内,国际
中原龙浩,B-3388,ARJ21-700(F),7.5,金奈,郑州,进口,,国际,国内
