airline,registration,aircraft,age,origin,destination,full_route,direction,special,flight_number,frequency,flight_time,flight_distance,origin_category,destination_category
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",阿姆斯特丹,成都,阿姆斯特丹—成都,进口,,,正常运营,,,国际,国内
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,芝加哥,浦东—芝加哥,出口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",芝加哥,浦东,芝加哥—浦东,进口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,芝加哥,浦东—安克雷奇—芝加哥,出口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",芝加哥,浦东,芝加哥—安克雷奇—浦东,进口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,洛杉矶,浦东—洛杉矶,出口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",洛杉矶,浦东,洛杉矶—浦东,进口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,芝加哥,浦东—芝加哥,出口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",芝加哥,浦东,芝加哥—浦东,进口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,芝加哥,浦东—安克雷奇—芝加哥,出口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",芝加哥,浦东,芝加哥—安克雷奇—浦东,进口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,河内,浦东—河内,出口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",河内,浦东,河内—浦东,进口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",深圳,布达佩斯,深圳—布达佩斯,出口,,,正常运营,,,国内,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",布达佩斯,深圳,布达佩斯—深圳,进口,,,正常运营,,,国际,国内
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,阿姆斯特丹,浦东—阿姆斯特丹,出口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",阿姆斯特丹,浦东,阿姆斯特丹—浦东,进口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,巴黎,浦东—巴黎,出口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",巴黎,浦东,巴黎—浦东,进口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,米兰,浦东—米兰,出口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",米兰,浦东,米兰—浦东,进口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,纽约,浦东—纽约,出口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",纽约,浦东,纽约—浦东,进口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,纽约,浦东—纽约,出口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",纽约,浦东,纽约—安克雷奇—浦东,进口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,芝加哥,浦东—安克雷奇—芝加哥,出口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",芝加哥,浦东,芝加哥—浦东,进口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,芝加哥,浦东—芝加哥,出口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",芝加哥,浦东,芝加哥—浦东,进口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",广州,普雷斯蒂克,广州—普雷斯蒂克,出口,,,正常运营,,,国内,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",普雷斯蒂克,广州,普雷斯蒂克—广州,进口,,,正常运营,,,国际,国内
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",普雷斯蒂克,广州,普雷斯蒂克—广州,进口,,,正常运营,,,国际,国内
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",广州,马德里巴拉哈斯,广州—马德里巴拉哈斯,出口,,,正常运营,,,国内,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",马德里巴拉哈斯,广州,马德里巴拉哈斯—广州,进口,,,正常运营,,,国际,国内
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",马德里巴拉哈斯,广州,马德里巴拉哈斯—广州,进口,,,正常运营,,,国际,国内
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,法兰克福,浦东—法兰克福,出口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",法兰克福,浦东,法兰克福—浦东,进口,,,正常运营,,,国际,国际
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,马德里巴拉哈斯,浦东—列日—马德里巴拉哈斯,出口,,,正常运营,,,国际,国际
