airline,reg,aircraft,age,origin,destination,direction,city_route,airport_route,iata_route,flight_time,speed,distance,weekly_frequency,remarks
南航,B-2010,777-F1B,10.5,浦东,荷兰阿姆斯特丹,出口,浦东-荷兰阿姆斯特丹,浦东-阿姆斯特丹史基普,PVG-AMS,10h52m,818.5582822085865,8895.0,1,
南航,B-2010,777-F1B,10.5,荷兰阿姆斯特丹,浦东,进口,荷兰阿姆斯特丹-浦东,阿姆斯特丹史基普-浦东,AMS-PVG,10h9m,876.3546798029556,8895.0,1,
南航,B-2010,777-F1B,10.5,浦东,美国安克雷奇-美国芝加哥,出口,浦东-美国安克雷奇-美国芝加哥,浦东-泰德.史蒂文斯安克雷奇-芝加哥奥黑尔,PVG-ANC-ORD,14h11m,800.5170387779083,11354.0,1,
南航,B-2010,777-F1B,10.5,美国芝加哥,深圳,进口,美国芝加哥-深圳,芝加哥奥黑尔-深圳,ORD-SZX,15h8m,0.0,,1,
南航,B-2010,777-F1B,10.5,浦东,加拿大温哥华-加拿大多伦多,出口,浦东-加拿大温哥华-加拿大多伦多,浦东-温哥华-多伦多皮尔逊,PVG-YVR-YYZ,13h55,889.9401197604791,12385.0,1,
南航,B-2010,777-F1B,10.5,加拿大多伦多,浦东,进口,加拿大多伦多-浦东,多伦多皮尔逊-浦东,YYZ-PVG,14h8m,809.1509433962265,11436.0,1,
南航,B-2010,777-F1B,10.5,浦东,德国法兰克福,出口,浦东-德国法兰克福,浦东-法兰克福,PVG-FRA,11h2m,801.4803625377668,8843.0,1,
南航,B-2010,777-F1B,10.5,德国法兰克福,浦东,进口,德国法兰克福-浦东,法兰克福-浦东,FRA-PVG,9h57m,888.7437185929649,8843.0,1,
南航,B-2010,777-F1B,10.5,广州,美国安克雷奇-美国洛杉矶,出口,广州-美国安克雷奇-美国洛杉矶,广州-泰德.史蒂文斯安克雷奇-洛杉矶,CAN-ANC-LAX,13h33m,895.8671586715867,12139.0,1,
南航,B-2010,777-F1B,10.5,美国洛杉矶,广州,进口,美国洛杉矶-广州,洛杉矶-广州,LAX-CAN,14h27m,805.5363321799308,11640.0,1,
南航,B-2010,777-F1B,10.5,重庆,德国法兰克福,出口,重庆-德国法兰克福,重庆-法兰克福,CKG-FRA,10h17m,918.2820097244763,9443.0,1,
南航,B-2010,777-F1B,10.5,德国法兰克福,浦东,进口,德国法兰克福-浦东,法兰克福-浦东,FRA-PVG,9h57m,888.7437185929649,8843.0,1,
南航,B-2010,777-F1B,10.5,广州,澳大利亚悉尼,出口,广州-澳大利亚悉尼,广州-悉尼金斯福德史密斯,CAN-SYD,8h35m,875.1844660194178,7512.0,1,
南航,B-2010,777-F1B,10.5,澳大利亚悉尼,越南河内-浦东,进口,澳大利亚悉尼-越南河内-浦东,悉尼金斯福德史密斯-河内内排-浦东,SYD-HAN-PVG,12h34m,626.9761273209532,7879.0,1,
南航,B-2010,777-F1B,10.5,浦东,美国芝加哥,出口,浦东-美国芝加哥,浦东-芝加哥奥黑尔,PVG-ORD,14h11m,799.8824911868409,11345.0,1,
南航,B-2010,777-F1B,10.5,美国芝加哥,深圳,进口,美国芝加哥-深圳,芝加哥奥黑尔-深圳,ORD-SZX,15h14m,0.0,,1,
