airline,reg,aircraft,age,origin,destination,direction,remarks
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",成都双流,阿姆斯特丹,出口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",阿姆斯特丹,成都,进口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",成都双流,阿勒马克图姆,出口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",阿勒马克图姆,成都双流,进口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",成都双流,阿兰达,出口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",巴黎戴高乐,成都双流,进口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",成都双流,阿兰达,出口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",列日,成都双流,进口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",成都双流,法兰克福,出口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",法兰克福,成都双流,进口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,芝加哥,出口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",芝加哥,浦东,进口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,安克雷奇,出口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",安克雷奇,芝加哥,出口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",芝加哥,安克雷奇,进口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",安克雷奇,浦东,进口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",沈阳桃仙,洛杉矶,出口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",洛杉矶,北京首都,进口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",沈阳桃仙,安克雷奇,出口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",安克雷奇,洛杉矶,出口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",洛杉矶,沈阳桃仙,进口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,洛杉矶,出口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",洛杉矶,浦东,进口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",沈阳桃仙,洛杉矶,出口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",洛杉矶,北京首都,进口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",沈阳桃仙,安克雷奇,出口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",安克雷奇,洛杉矶,出口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",洛杉矶,沈阳桃仙,进口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,芝加哥,出口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",芝加哥,浦东,进口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,安克雷奇,出口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",安克雷奇,芝加哥,出口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",芝加哥,安克雷奇,进口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",安克雷奇,浦东,进口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,河内,出口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",河内,浦东,进口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",深圳,布达佩斯,出口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",布达佩斯,深圳,进口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,阿姆斯特丹,出口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",阿姆斯特丹,浦东,进口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,巴黎,出口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",巴黎,浦东,进口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,米兰,出口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",米兰,浦东,进口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,纽约,出口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",纽约,浦东,进口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,纽约,出口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",纽约,安克雷奇,进口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",安克雷奇,浦东,进口,
国货航,"B-6090
B-6091
B-6092
B-6093
B-6113",A330-200P2F,"18
17.8
17.7
17.6
17.6",浦东,安克雷奇,出口,
